1GL, First-Generation Programming Language
1NF, First Normal Form
10B2, 10BASE-2
10B5, 10BASE-5
10B-F, 10BASE-F
10B-FB, 10BASE-FB
10B-FL, 10BASE-FL
10B-FP, 10BASE-FP
10B-T, 10BASE-T
100B-FX, 100BASE-FX
100B-T, 100BASE-T
100B-TX, 100BASE-TX
100BVG, 100BASE-VG
286, Intel 80286 processor
B1Q, 2 Binary 1 Quaternary
2FA, Two-factor authentication
2GL, Second-Generation Programming Language
NF, Second Normal Form
3GL, Third-Generation Programming Language
GPP, [3rd Generation Partnership Project
GPP2, [3rd Generation Partnership Project 2
NF, Third Normal Form
386, Intel 80386 processor
486, Intel 80486 processor
B5B, F—4 Byte 5 Byte Local Fiber
4GL, Fourth-Generation Programming Language
NF, Fourth Normal Form
5GL, Fifth-Generation Programming Language
NF, Fifth Normal Form
NF, Sixth Normal Form
8B10BLF, 8 Byte 10 Byte Local Fiber
02.11, Wireless LAN
AAA, Authentication Authorization, Accounting
AABB, Axis Aligned Bounding Box
AAC, Advanced Audio Coding
AAL, ATM Adaptation Layer
AALC, ATM Adaptation Layer Connection
AARP, AppleTalk Address Resolution Protocol
ABAC, Attribute-Based Access Control
ABCL, Actor-Based Concurrent Language
ABI, Application Binary Interface
ABM, Asynchronous Balanced Mode
ABR, Area Border Router
ABR, Auto Baud-Rate detection
ABR, Available Bitrate
ABR, Average Bitrate
AC, Acoustic Coupler
AC, Alternating Current
ACD, Automatic Call Distributor
ACE, Advanced Computing Environment
CID, Atomicity Consistency Isolation Durability
ACK, ACKnowledgement
ACK, Amsterdam Compiler Kit
ACL, Access Control List
ACL, Active Current Loop
ACM, Association for Computing Machinery
ACME, Automated Classification of Medical Entities
ACP, Airline Control Program
ACPI, Advanced Configuration and Power Interface
ACR, Allowed Cell Rate
ACR, Attenuation to Crosstalk Ratio
AD, Active Directory
AD, Administrative Domain
ADC, Analog-to-Digital Converter
ADC, Apple Display Connector
ADB, Apple Desktop Bus
ADCCP, Advanced Data Communications Control Procedures
ADO, ActiveX Data Objects
ADSL, Asymmetric Digital Subscriber Line
ADT, Abstract Data Type
AE, Adaptive Equalizer
AES, Advanced Encryption Standard
AF, Anisotropic Filtering
AFP, Apple Filing Protocol
AGP, Accelerated Graphics Port
AH, Active Hub
AI, Artificial Intelligence
AIX, Advanced Interactive eXecutive
Ajax, Asynchronous JavaScript and XML
AL, Active Link
AL, Access List
ALAC, Apple Lossless Audio Codec
LGOL, Algorithmic Language
ALSA, Advanced Linux Sound Architecture
ALU, Arithmetic and Logical Unit
AM, Access Method
AM, Active Matrix
MOLED, Active-Matrix Organic Light-Emitting Diode
AM, Active Monitor
AM, Allied Mastercomputer
AM, Amplitude Modulation
AMD, Advanced Micro Devices
AMQP, Advanced Message Queuing Protocol
AMR, Audio Modem Riser
ANN, Artificial Neural Network
ANSI, American National Standards Institute
ANT, Another Neat Tool
AoE, ATA over Ethernet
AOP, Aspect-Oriented Programming
APCI, Application-Layer Protocol Control Information
API, Application Programming Interface
APIC, Advanced Programmable Interrupt Controller
APIPA, Automatic Private IP Addressing
APL, A Programming Language
APR, Apache Portable Runtime
ARC, Adaptive Replacement Cache
ARC, Advanced RISC Computing
ARIN, American Registry for Internet Numbers
ARM, Advanced RISC Machines
AROS, AROS Research Operating System
ARP, Address Resolution Protocol
ARPA, Address and Routing Parameter Area
ARPA, Advanced Research Projects Agency
